STE_NAME21,Year12_rate
Australian Capital Territory,92.2
Australian Capital Territory,82.8
Australian Capital Territory,80.4
Australian Capital Territory,79.0
Australian Capital Territory,89.3
Australian Capital Territory,80.4
Australia,72.7
Australia,60.5
Australia,60.2
Australia,53.5
Australia,75.9
Australia,67.9
Australia,63.1
Australia,69.1
Australia,78.1
Australia,72.1
Australia,70.6
Australia,65.5
Australia,80.0
Australia,75.4
Australia,72.8
Australia,76.1
Australia,75.3
Australia,66.1
Australia,65.2
Australia,59.3
Australia,77.9
Australia,71.5
Australia,67.8
Australia,72.5
New South Wales,71.3
New South Wales,59.2
New South Wales,58.4
New South Wales,53.2
New South Wales,78.7
New South Wales,65.3
New South Wales,63.5
New South Wales,68.4
New South Wales,79.1
New South Wales,72.5
New South Wales,76.6
New South Wales,92.2
New South Wales,83.1
New South Wales,74.4
New South Wales,76.7
New South Wales,77.8
New South Wales,75.1
New South Wales,65.7
New South Wales,67.2
New South Wales,72.2
New South Wales,80.8
New South Wales,69.6
New South Wales,69.7
New South Wales,72.9
Victoria,81.0
Victoria,70.3
Victoria,69.5
Victoria,86.1
Victoria,77.2
Victoria,74.5
Victoria,78.4
Victoria,84.7
Victoria,86.6
Victoria,88.0
Victoria,89.0
Victoria,84.7
Victoria,81.7
Victoria,85.2
Victoria,82.8
Victoria,78.1
Victoria,78.3
Victoria,87.5
Victoria,80.8
Victoria,77.6
Victoria,81.7
Queensland,81.6
Queensland,78.6
Queensland,81.0
Queensland,66.4
Queensland,81.3
Queensland,80.1
Queensland,80.4
Queensland,80.7
Queensland,86.6
Queensland,86.8
Queensland,89.5
Queensland,77.7
Queensland,83.7
Queensland,87.2
Queensland,88.6
Queensland,86.9
Queensland,84.1
Queensland,82.6
Queensland,85.1
Queensland,71.8
Queensland,82.5
Queensland,83.6
Queensland,84.4
Queensland,83.7
South Australia,84.2
South Australia,75.8
South Australia,91.0
South Australia,81.0
South Australia,76.4
South Australia,81.4
South Australia,93.2
South Australia,92.4
South Australia,96.0
South Australia,92.4
South Australia,93.0
South Australia,93.3
South Australia,88.6
South Australia,83.9
South Australia,93.5
South Australia,86.6
South Australia,84.3
South Australia,87.2
Western Australia,77.7
Western Australia,75.7
Western Australia,75.1
Western Australia,65.4
Western Australia,78.9
Western Australia,77.8
Western Australia,72.1
Western Australia,76.8
Western Australia,81.7
Western Australia,86.4
Western Australia,80.2
Western Australia,70.8
Western Australia,82.6
Western Australia,81.1
Western Australia,79.9
Western Australia,81.5
Western Australia,79.7
Western Australia,80.8
Western Australia,77.5
Western Australia,67.9
Western Australia,80.8
Western Australia,79.3
Western Australia,76.0
Western Australia,79.1
Tasmania,54.9
Tasmania,49.3
Tasmania,31.6
Tasmania,73.8
Tasmania,55.8
Tasmania,45.7
Tasmania,53.2
Tasmania,63.2
Tasmania,69.9
Tasmania,71.1
Tasmania,69.0
Tasmania,68.3
Tasmania,61.7
Tasmania,65.0
Tasmania,59.0
Tasmania,59.1
Tasmania,51.1
Tasmania,71.5
Tasmania,62.0
Tasmania,53.4
Tasmania,58.9
Northern Territory,62.8
Northern Territory,22.7
Northern Territory,58.5
Northern Territory,62.9
Northern Territory,13.8
Northern Territory,44.0
Northern Territory,76.1
Northern Territory,26.6
Northern Territory,77.6
Northern Territory,70.9
Northern Territory,17.9
Northern Territory,52.1
Northern Territory,69.1
Northern Territory,24.7
Northern Territory,67.3
Northern Territory,66.8
Northern Territory,15.9
Northern Territory,47.9
Australian Capital Territory,83.0
Australian Capital Territory,81.8
Australian Capital Territory,85.7
Australian Capital Territory,83.0
Australian Capital Territory,85.7
Australian Capital Territory,84.4
Australian Capital Territory,92.8
Australian Capital Territory,85.7
Australian Capital Territory,84.3
Australian Capital Territory,83.1
Australian Capital Territory,89.2
Australian Capital Territory,84.3
Australia,77.8
Australia,67.7
Australia,70.4
Australia,53.3
Australia,81.8
Australia,74.3
Australia,70.0
Australia,75.0
Australia,83.6
Australia,80.3
Australia,84.0
Australia,63.4
Australia,85.3
Australia,82.2
Australia,80.6
Australia,82.7
Australia,80.7
Australia,73.8
Australia,76.9
Australia,58.1
Australia,83.5
Australia,78.1
Australia,75.0
Australia,78.7
New South Wales,72.0
New South Wales,61.0
New South Wales,63.0
New South Wales,69.0
New South Wales,79.0
New South Wales,66.0
New South Wales,65.0
New South Wales,69.0
New South Wales,80.0
New South Wales,76.0
New South Wales,80.0
New South Wales,67.0
New South Wales,84.0
New South Wales,76.0
New South Wales,77.0
New South Wales,79.0
New South Wales,76.0
New South Wales,68.0
New South Wales,71.0
New South Wales,68.0
New South Wales,82.0
New South Wales,71.0
New South Wales,71.0
New South Wales,74.0
Victoria,79.0
Victoria,73.0
Victoria,77.0
Victoria,84.0
Victoria,76.0
Victoria,72.0
Victoria,78.0
Victoria,84.0
Victoria,87.0
Victoria,91.0
Victoria,87.0
Victoria,84.0
Victoria,83.0
Victoria,84.0
Victoria,81.0
Victoria,80.0
Victoria,84.0
Victoria,85.0
Victoria,80.0
Victoria,77.0
Victoria,81.0
Queensland,83.0
Queensland,87.0
Queensland,84.0
Queensland,71.0
Queensland,81.0
Queensland,85.0
Queensland,85.0
